Randomizer Version: 4.6.1
Random Seed: 29002602117589
Settings String: 322AAgEAgSDAYYBiQEEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFFBva2Vtb24gUGxhdGludW0gKFMp3lSAj+PDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|Trampa Arena| -          |Flecha Ven. (rare)
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|Imán        | -          |Flecha Ven. (rare)
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Espesura    |Absor. Agua |Piedraeterna (rare)
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Muro Mágico | -          |Piedraeterna (rare)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|Gula        |Anticipación|Piedraeterna (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|Escudo Magma| -          |Baya Acardo (rare)
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|Francotirad.|Rompemoldes |Baya Acardo (rare)
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Foco Interno|Espír. Vital|Cola Plúmbea (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Afortunado  | -          |Roca del Rey (rare)
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Despiste    | -          |Rev.metálico (rare)
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Vista Lince |Elec. Estát.|Rev.metálico (rare)
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Dicha       | -          |Palo (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Antídoto    | -          |Pico Afilado (rare)
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Velo Arena  | -          |Pico Afilado (rare)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|Agallas     |Escudo Magma|
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|Sequía      |Fuga        |
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|Absor. Fuego|Electromotor|Pepita (rare)
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|Recogida    |Anticipación|Pepita (rare)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|Chorro Arena| -          |Perla (common), Perla Grande (rare)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|Ventosas    |Cromolente  |Perla (common), Perla Grande (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Manto Níveo | -          |
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Torrente    |Robustez    |
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Descarga    |Liviano     |
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Adaptable   |Cacheo      |
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|Ritmo Propio| -          |
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|Antídoto    |Pies Rápidos|
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|Lodo Líquido| -          |
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|Foco Interno|Trampa Arena|
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|Potencia    | -          |
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|Liviano     |Nado Rápido |
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Ignífugo    |Sincronía   |
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Escama Esp. | -          |
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|Escudo Magma| -          |Hueso Grueso (rare)
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|Sebo        |Aclimatación|Hueso Grueso (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|Pies Rápidos|Absor. Fuego|
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|Trampa Arena|Encadenado  |
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|Antídoto    | -          |Cola Plúmbea (rare)
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|Velo Arena  | -          |Bola Humo (rare)
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|Francotirad.| -          |Bola Humo (rare)
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Sequía      |Audaz       |
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Gula        |Absor. Agua |
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|Ignorante   | -          |Piedra Oval (common), Huevo Suerte (rare)
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|Bucle Aire  |Absor. Agua |
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|Velo Agua   |Despiste    |
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|Mal Sueño   |Ventosas    |Escamadragón (rare)
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|Ausente     | -          |Escamadragón (rare)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|Ausente     | -          |
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|Cuerpo Puro | -          |
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|Inicio Lento|Foco Interno|Polvoestelar (common), Tr. Estrella (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Gélido      |Rastro      |Polvoestelar (common), Tr. Estrella (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|Entusiasmo  | -          |Baya Zanama (rare)
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Manto Níveo | -          |
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Piel Tosca  |Resquicio   |Baya Perasi (100%)
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|Llovizna    | -          |Electrizador (rare)
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|Resquicio   |Llovizna    |Magmatizador (rare)
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|Madrugar    |Piel Tosca  |
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|Irascible   |Ausente     |
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|Antídoto    | -          |
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Hidratación |Iluminación |
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|Defensa Hoja|Manto Níveo |
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|Torrente    |Menos       |Polvo Veloz (common), Pol.metálico (rare)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|Armad. Bat. |Rastro      |
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|Alerta      | -          |
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|Afortunado  | -          |
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|Intrépido   |Encadenado  |
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|Anticipación|Armad. Bat. |
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Caparazón   | -          |
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Robustez    |Insomnio    |
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Audaz       | -          |
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Imán        |Intrépido   |
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Gula        | -          |
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|Sincronía   |Polvo Escudo|Restos (100%)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Pararrayos  |Tumbos      |
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Ignífugo    |Menos       |
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Más         | -          |
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|Cuerpo Llama|Roca Sólida |Escamadragón (rare)
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|Clorofila   |Intrépido   |Escamadragón (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Defensa Hoja|Elec. Estát.|Escamadragón (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|Armad. Bat. |Hidratación |
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|Alerta      |Cura Lluvia |Baya Ziuela (100%)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|Pies Rápidos| -          |
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|Ritmo Propio| -          |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|Impasible   | -          |
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|Gula        | -          |
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|Lodo Líquido| -          |
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|Elec. Estát.|Electromotor|
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|Cura Natural| -          |
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|Antídoto    | -          |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|Resquicio   | -          |
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|Ventosas    | -          |Baya Aranja (rare)
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|Cabeza Roca | -          |Baya Aranja (common), Baya Zidra (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Dicha       | -          |
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Sebo        | -          |
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Velo Agua   | -          |
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Ojocompuesto|Mudar       |
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|Ritmo Propio| -          |
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|Tumbos      |Alerta      |
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Roca Sólida |Ignorante   |
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Cacheo      | -          |Escama Mar. (rare)
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Imán        | -          |Escama Mar. (rare)
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|Mar Llamas  | -          |Baya Aranja (rare)
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|Sincronía   |Polvo Escudo|Baya Zanama (common), Piedra Lunar (rare)
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|Caparazón   | -          |
175|TOGEPI       |NORMAL           |  35|  20|  65|  40|  65|  20|Más         | -          |
176|TOGETIC      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|Enjambre    |Escama Esp. |
177|NATU         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Más         | -          |
178|XATU         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Adaptable   | -          |
179|MAREEP       |ELECTRIC         |  55|  40|  40|  65|  45|  35|Indefenso   | -          |
180|FLAAFFY      |ELECTRIC         |  70|  55|  55|  80|  60|  45|Inmunidad   | -          |
181|AMPHAROS     |ELECTRIC         |  90|  75|  75| 115|  90|  55|Torrente    |Normalidad  |
182|BELLOSSOM    |GRASS            |  75|  80|  85|  90| 100|  50|Colector    | -          |
183|MARILL       |WATER            |  70|  20|  50|  20|  50|  40|Manto Níveo | -          |
184|AZUMARILL    |WATER            | 100|  50|  80|  50|  80|  50|Menos       | -          |
185|SUDOWOODO    |ROCK             |  70| 100| 115|  30|  65|  30|Pies Rápidos|Gélido      |
186|POLITOED     |WATER            |  90|  75|  75|  90| 100|  70|Ojocompuesto| -          |Roca del Rey (rare)
187|HOPPIP       |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Cuerpo Llama|Resquicio   |
188|SKIPLOOM     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Corte Fuerte|Lodo Líquido|
189|JUMPLUFF     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|Cromolente  |Iluminación |
190|AIPOM        |NORMAL           |  55|  70|  55|  40|  55|  85|Viscosidad  |Torrente    |
191|SUNKERN      |GRASS            |  30|  30|  30|  30|  30|  30|Sincronía   | -          |Baya Kouba (rare)
192|SUNFLORA     |GRASS            |  75|  75|  55| 105|  85|  30|Torrente    | -          |
193|YANMA        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Rivalidad   | -          |Lupa (rare)
194|WOOPER       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Cuerpo Llama| -          |
195|QUAGSIRE     |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Experto     |Espesura    |
196|ESPEON       |PSYCHIC          |  65|  65|  60| 130|  95| 110|Ignorante   | -          |
197|UMBREON      |DARK             |  95|  65| 110|  60| 130|  65|Bucle Aire  |Descarga    |
198|MURKROW      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Ritmo Propio|Nevada      |
199|SLOWKING     |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Viscosidad  | -          |Roca del Rey (rare)
200|MISDREAVUS   |GHOST            |  60|  60|  60|  85|  85|  85|Chorro Arena|Menos       |
201|UNOWN        |PSYCHIC          |  48|  72|  48|  72|  48|  48|Foco Interno| -          |
202|WOBBUFFET    |PSYCHIC          | 190|  33|  58|  33|  58|  33|Filtro      |Clorofila   |
203|GIRAFARIG    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|Cura Lluvia |Nevada      |Baya Caquic (rare)
204|PINECO       |BUG              |  50|  65|  90|  35|  35|  15|Pararrayos  |Lodo Líquido|
205|FORRETRESS   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|Puño Férreo |Impasible   |
206|DUNSPARCE    |NORMAL           | 100|  70|  70|  65|  65|  45|Cura Natural|Muro Mágico |
207|GLIGAR       |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|Filtro      | -          |
208|STEELIX      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|Tumbos      | -          |Rev.metálico (rare)
209|SNUBBULL     |NORMAL           |  60|  80|  50|  40|  40|  30|Intrépido   | -          |
210|GRANBULL     |NORMAL           |  90| 120|  75|  60|  60|  45|Liviano     | -          |
211|QWILFISH     |WATER/POISON     |  65|  95|  75|  55|  55|  85|Inmunidad   | -          |Flecha Ven. (rare)
212|SCIZOR       |BUG/STEEL        |  70| 130| 100|  55|  80|  65|Sebo        |Audaz       |
213|SHUCKLE      |BUG/ROCK         |  20|  10| 230|  10| 230|   5|Mudar       | -          |Baya Aranja (100%)
214|HERACROSS    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|Antídoto    |Escama Esp. |
215|SNEASEL      |DARK/ICE         |  55|  95|  55|  35|  75| 115|Fuga        |Despiste    |Garra Garfio (common), Garra Rápida (rare)
216|TEDDIURSA    |NORMAL           |  60|  80|  50|  50|  50|  40|Adaptable   |Presión     |
217|URSARING     |NORMAL           |  90| 130|  75|  75|  75|  55|Anticipación| -          |
218|SLUGMA       |FIRE             |  40|  40|  40|  70|  40|  20|Encadenado  |Espesura    |
219|MAGCARGO     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|Gélido      | -          |
220|SWINUB       |ICE/GROUND       |  50|  50|  40|  30|  30|  50|Cuerpo Llama| -          |
221|PILOSWINE    |ICE/GROUND       | 100| 100|  80|  60|  60|  50|Llovizna    |Recogida    |
222|CORSOLA      |WATER/ROCK       |  55|  55|  85|  65|  85|  35|Mudar       | -          |Piedra Dura (rare)
223|REMORAID     |WATER            |  35|  65|  35|  65|  35|  65|Ojocompuesto| -          |
224|OCTILLERY    |WATER            |  75| 105|  75| 105|  75|  45|Potencia    |Hidratación |
225|DELIBIRD     |ICE/FLYING       |  45|  55|  45|  65|  45|  75|Espesura    | -          |
226|MANTINE      |WATER/FLYING     |  65|  40|  70|  80| 140|  70|Recogida    |Roca Sólida |
227|SKARMORY     |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|Irascible   | -          |
228|HOUNDOUR     |DARK/FIRE        |  45|  60|  30|  80|  50|  65|Ausente     |Recogemiel  |
229|HOUNDOOM     |DARK/FIRE        |  75|  90|  50| 110|  80|  95|Normalidad  | -          |
230|KINGDRA      |WATER/DRAGON     |  75|  95|  95|  95|  95|  85|Chorro Arena| -          |Escamadragón (rare)
231|PHANPY       |GROUND           |  90|  60|  60|  40|  40|  40|Irascible   | -          |Baya Pasio (rare)
232|DONPHAN      |GROUND           |  90| 120| 120|  60|  60|  50|Absor. Elec.|Espesura    |Baya Pasio (rare)
233|PORYGON2     |NORMAL           |  85|  80|  90| 105|  95|  60|Mar Llamas  | -          |
234|STANTLER     |NORMAL           |  73|  95|  62|  85|  65|  85|Polvo Escudo| -          |
235|SMEARGLE     |NORMAL           |  55|  20|  35|  20|  45|  75|Gran Encanto| -          |
236|TYROGUE      |FIGHTING         |  35|  35|  35|  35|  35|  35|Torrente    | -          |
237|HITMONTOP    |FIGHTING         |  50|  95|  95|  35| 110|  70|Armad. Bat. | -          |
238|SMOOCHUM     |ICE/PSYCHIC      |  45|  30|  15|  85|  65|  65|Levitación  |Viscosidad  |Baya Perasi (100%)
239|ELEKID       |ELECTRIC         |  45|  63|  37|  65|  55|  95|Menos       | -          |Electrizador (rare)
240|MAGBY        |FIRE             |  45|  75|  37|  70|  55|  83|Inicio Lento|Piel Tosca  |Magmatizador (rare)
241|MILTANK      |NORMAL           |  95|  80| 105|  40|  70| 100|Encadenado  | -          |Leche Mu-mu (100%)
242|BLISSEY      |NORMAL           | 255|  10|  10|  75| 135|  55|Poder Solar | -          |Piedra Oval (common), Huevo Suerte (rare)
243|RAIKOU       |ELECTRIC         |  90|  85|  75| 115| 100| 115|Elec. Estát.|Flexibilidad|
244|ENTEI        |FIRE             | 115| 115|  85|  90|  75| 100|Antídoto    | -          |
245|SUICUNE      |WATER            | 100|  75| 115|  90| 115|  85|Ventosas    |Mudar       |
246|LARVITAR     |ROCK/GROUND      |  50|  64|  50|  45|  50|  41|Potencia    | -          |
247|PUPITAR      |ROCK/GROUND      |  70|  84|  70|  65|  70|  51|Potencia    | -          |
