Randomizer Version: 4.6.1
Random Seed: 218158380368997
Settings String: 322AAgEAgSDAYYBiQEEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFFBva2Vtb24gUGxhdGludW0gKFMp3lSAj+PDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
 21|SPEAROW      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Caparazón   |Levitación  |
 22|FEAROW       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Despiste    |Dicha       |Pico Afilado (rare)
 23|EKANS        |POISON           |  35|  60|  44|  40|  54|  55|Armad. Bat. |Poder Solar |
 24|ARBOK        |POISON           |  60|  85|  69|  65|  79|  80|Piel Seca   | -          |
 25|PIKACHU      |ELECTRIC         |  35|  55|  30|  50|  40|  90|Pies Rápidos| -          |Baya Aranja (common), Bolaluminosa (rare)
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|Francotirad.|Impulso     |Baya Aranja (rare)
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|Entusiasmo  | -          |Garra Rápida (rare)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|Humo Blanco | -          |Garra Rápida (rare)
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|Experto     | -          |
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|Cambio Color|Levitación  |
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|Insonorizar | -          |
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|Insonorizar | -          |
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|Punto Tóxico| -          |
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|Clorofila   |Espír. Vital|
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|Llovizna    |Rastro      |Baya Zanama (common), Piedra Lunar (rare)
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|Ventosas    | -          |Baya Zanama (common), Piedra Lunar (rare)
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|Cabeza Roca | -          |Baya Safre (100%)
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|Espír. Vital|Lodo Líquido|Baya Safre (100%)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|Piel Tosca  |Intimidación|
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|Velo Arena  |Mar Llamas  |
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Absor. Agua |Elec. Estát.|
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Viscosidad  | -          |
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Corte Fuerte|Cura Natural|
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Despiste    |Más         |
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|Hedor       | -          |
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Intrépido   |Afortunado  |Mini Seta (common), Seta Grande (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Hidratación |Resquicio   |Mini Seta (common), Seta Grande (rare)
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|Cromolente  |Inicio Lento|
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|Absor. Elec.|Descarga    |Muda Concha (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|Lodo Líquido| -          |Arena Fina (rare)
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|Gélido      |Intrépido   |Arena Fina (rare)
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|Cacheo      | -          |Garra Rápida (rare)
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|Electromotor|Más         |Garra Rápida (rare)
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|Puño Férreo |Chorro Arena|
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|Colector    | -          |
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|Impasible   |Inicio Lento|Baya Payapa (rare)
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|Bucle Aire  | -          |Baya Payapa (rare)
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|Tumbos      |Madrugar    |Baya Safre (100%)
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|Dicha       | -          |Baya Safre (100%)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|Adaptable   | -          |
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|Aclimatación|Presión     |Roca del Rey (rare)
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|Efec. Espora|Recogida    |Roca del Rey (rare)
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|Piel Seca   | -          |Cuchara Tor (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|Fuga        |Entusiasmo  |Cuchara Tor (rare)
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|Afortunado  | -          |Cuchara Tor (rare)
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|Levitación  | -          |
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|Rivalidad   |Efec. Espora|
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|Insonorizar |Humo Blanco |
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Ritmo Propio|Cuerpo Llama|
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Hidratación |Ventosas    |
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|Recogemiel  |Simple      |
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|Energía Pura| -          |Flecha Ven. (rare)
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|Gélido      |Viscosidad  |Flecha Ven. (rare)
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Cuerpo Llama|Encadenado  |Piedraeterna (rare)
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Potencia    |Corte Fuerte|Piedraeterna (rare)
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|Hidratación | -          |Piedraeterna (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|Adaptable   | -          |Baya Acardo (rare)
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|Lodo Líquido| -          |Baya Acardo (rare)
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Levitación  | -          |Cola Plúmbea (rare)
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Experto     | -          |Roca del Rey (rare)
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Encadenado  | -          |Rev.metálico (rare)
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Colector    | -          |Rev.metálico (rare)
 83|FARFETCH’D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Intrépido   |Indefenso   |Palo (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Llovizna    | -          |Pico Afilado (rare)
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Imán        |Aclimatación|Pico Afilado (rare)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|Cura Natural|Absor. Fuego|
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|Cacheo      |Nevada      |
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|Elec. Estát.| -          |Pepita (rare)
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|Ignorante   |Bucle Aire  |Pepita (rare)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|Afortunado  |Pararrayos  |Perla (common), Perla Grande (rare)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|Nado Rápido | -          |Perla (common), Perla Grande (rare)
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Rompemoldes | -          |
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Punto Tóxico|Cabeza Roca |
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Sincronía   | -          |
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Simple      | -          |
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|Cambio Color| -          |
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|Tumbos      | -          |
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|Inmunidad   | -          |
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|Intimidación| -          |
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|Indefenso   |Clorofila   |
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|Potencia    |Clorofila   |
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Insonorizar |Cromolente  |
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Inicio Lento| -          |
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|Mudar       |Foco Interno|Hueso Grueso (rare)
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|Encadenado  |Colector    |Hueso Grueso (rare)
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|Despiste    |Defensa Hoja|
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|Cacheo      | -          |
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|Lodo Líquido|Escudo Magma|Cola Plúmbea (rare)
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|Velo Arena  |Clorofila   |Bola Humo (rare)
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|Encadenado  | -          |Bola Humo (rare)
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Intimidación| -          |
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Insomnio    | -          |
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|Sombratrampa| -          |Piedra Oval (common), Huevo Suerte (rare)
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|Cuerpo Puro |Ignífugo    |
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|Simple      |Aclimatación|
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|Potencia    |Gran Encanto|Escamadragón (rare)
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|Torrente    | -          |Escamadragón (rare)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|Fuga        | -          |
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|Resquicio   | -          |
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|Fuga        | -          |Polvoestelar (common), Tr. Estrella (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Rastro      |Cura Lluvia |Polvoestelar (common), Tr. Estrella (rare)
122|MR. MIME     |PSYCHIC          |  40|  45|  65| 100| 120|  90|Liviano     | -          |Baya Zanama (rare)
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Fuga        |Impasible   |
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Chorro Arena| -          |Baya Perasi (100%)
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|Rompemoldes |Espesura    |Electrizador (rare)
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|Dicha       | -          |Magmatizador (rare)
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|Elec. Estát.| -          |
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|Elec. Estát.| -          |
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|Escudo Magma| -          |
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Encadenado  | -          |
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|Hedor       |Intimidación|
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|Más         |Cuerpo Llama|Polvo Veloz (common), Pol.metálico (rare)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|Polvo Escudo|Espesura    |
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|Resquicio   |Polvo Escudo|
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|Antídoto    |Viscosidad  |
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|Espír. Vital| -          |
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|Ventosas    | -          |
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Roca Sólida | -          |
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Enjambre    |Cabeza Roca |
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Nevada      | -          |
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Gélido      |Irascible   |
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Intimidación|Viscosidad  |
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|Intimidación| -          |Restos (100%)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Irascible   |Foco Interno|
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Antídoto    |Aclimatación|
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Poder Solar | -          |
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|Rezagado    |Más         |Escamadragón (rare)
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|Defensa Hoja| -          |Escamadragón (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Despiste    | -          |Escamadragón (rare)
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|Ritmo Propio|Flexibilidad|
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|Cuerpo Puro | -          |Baya Ziuela (100%)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|Velo Agua   |Inicio Lento|
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|Afortunado  |Sebo        |
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|Velo Agua   |Sincronía   |
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|Sebo        |Ojocompuesto|
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|Roca Sólida | -          |
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|Ignorante   |Francotirad.|
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|Tumbos      |Presión     |
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|Bucle Aire  | -          |
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|Resquicio   |Vista Lince |
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|Rivalidad   | -          |Baya Aranja (rare)
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|Elec. Estát.| -          |Baya Aranja (common), Baya Zidra (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Ojocompuesto|Espír. Vital|
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Humedad     | -          |
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Cuerpo Llama| -          |
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Nevada      | -          |
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|Mar Llamas  |Sequía      |
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|Poder Solar | -          |
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Menos       |Zoquete     |
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Alerta      |Bucle Aire  |Escama Mar. (rare)
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Gula        | -          |Escama Mar. (rare)
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|Humo Blanco | -          |Baya Aranja (rare)
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|Indefenso   |Clorofila   |Baya Zanama (common), Piedra Lunar (rare)
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|Anticipación| -          |
175|TOGEPI       |NORMAL           |  35|  20|  65|  40|  65|  20|Experto     |Viscosidad  |
176|TOGETIC      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|Energía Pura| -          |
177|NATU         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Resquicio   | -          |
178|XATU         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Levitación  | -          |
179|MAREEP       |ELECTRIC         |  55|  40|  40|  65|  45|  35|Entusiasmo  | -          |
180|FLAAFFY      |ELECTRIC         |  70|  55|  55|  80|  60|  45|Defensa Hoja| -          |
181|AMPHAROS     |ELECTRIC         |  90|  75|  75| 115|  90|  55|Normalidad  |Intrépido   |
182|BELLOSSOM    |GRASS            |  75|  80|  85|  90| 100|  50|Nevada      |Hedor       |
183|MARILL       |WATER            |  70|  20|  50|  20|  50|  40|Chorro Arena| -          |
184|AZUMARILL    |WATER            | 100|  50|  80|  50|  80|  50|Irascible   | -          |
185|SUDOWOODO    |ROCK             |  70| 100| 115|  30|  65|  30|Ventosas    |Recogemiel  |
186|POLITOED     |WATER            |  90|  75|  75|  90| 100|  70|Pararrayos  |Entusiasmo  |Roca del Rey (rare)
187|HOPPIP       |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Ritmo Propio| -          |
188|SKIPLOOM     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Sebo        |Ritmo Propio|
189|JUMPLUFF     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|Tumbos      |Mal Sueño   |
190|AIPOM        |NORMAL           |  55|  70|  55|  40|  55|  85|Gula        | -          |
191|SUNKERN      |GRASS            |  30|  30|  30|  30|  30|  30|Armad. Bat. | -          |Baya Kouba (rare)
192|SUNFLORA     |GRASS            |  75|  75|  55| 105|  85|  30|Descarga    |Cromolente  |
193|YANMA        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Resquicio   | -          |Lupa (rare)
194|WOOPER       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Resquicio   |Humo Blanco |
195|QUAGSIRE     |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Clorofila   |Cambio Color|
196|ESPEON       |PSYCHIC          |  65|  65|  60| 130|  95| 110|Viscosidad  |Efec. Espora|
197|UMBREON      |DARK             |  95|  65| 110|  60| 130|  65|Más         |Recogida    |
198|MURKROW      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Recogemiel  |Velo Arena  |
199|SLOWKING     |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Alerta      | -          |Roca del Rey (rare)
200|MISDREAVUS   |GHOST            |  60|  60|  60|  85|  85|  85|Mar Llamas  |Electromotor|
201|UNOWN        |PSYCHIC          |  48|  72|  48|  72|  48|  48|Cura Lluvia | -          |
202|WOBBUFFET    |PSYCHIC          | 190|  33|  58|  33|  58|  33|Escudo Magma| -          |
203|GIRAFARIG    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|Normalidad  | -          |Baya Caquic (rare)
204|PINECO       |BUG              |  50|  65|  90|  35|  35|  15|Rezagado    |Nado Rápido |
205|FORRETRESS   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|Encadenado  |Gran Encanto|
206|DUNSPARCE    |NORMAL           | 100|  70|  70|  65|  65|  45|Energía Pura| -          |
207|GLIGAR       |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|Indefenso   | -          |
208|STEELIX      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|Intimidación| -          |Rev.metálico (rare)
209|SNUBBULL     |NORMAL           |  60|  80|  50|  40|  40|  30|Nevada      |Velo Agua   |
210|GRANBULL     |NORMAL           |  90| 120|  75|  60|  60|  45|Intrépido   | -          |
211|QWILFISH     |WATER/POISON     |  65|  95|  75|  55|  55|  85|Inicio Lento|Cacheo      |Flecha Ven. (rare)
212|SCIZOR       |BUG/STEEL        |  70| 130| 100|  55|  80|  65|Chorro Arena| -          |
213|SHUCKLE      |BUG/ROCK         |  20|  10| 230|  10| 230|   5|Punto Tóxico|Fuga        |Baya Aranja (100%)
214|HERACROSS    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|Espír. Vital| -          |
215|SNEASEL      |DARK/ICE         |  55|  95|  55|  35|  75| 115|Recogemiel  | -          |Garra Garfio (common), Garra Rápida (rare)
216|TEDDIURSA    |NORMAL           |  60|  80|  50|  50|  50|  40|Corte Fuerte| -          |
217|URSARING     |NORMAL           |  90| 130|  75|  75|  75|  55|Dicha       | -          |
218|SLUGMA       |FIRE             |  40|  40|  40|  70|  40|  20|Cambio Color|Humedad     |
219|MAGCARGO     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|Hidratación |Rivalidad   |
220|SWINUB       |ICE/GROUND       |  50|  50|  40|  30|  30|  50|Zoquete     |Defensa Hoja|
221|PILOSWINE    |ICE/GROUND       | 100| 100|  80|  60|  60|  50|Descarga    |Escama Esp. |
222|CORSOLA      |WATER/ROCK       |  55|  55|  85|  65|  85|  35|Defensa Hoja| -          |Piedra Dura (rare)
223|REMORAID     |WATER            |  35|  65|  35|  65|  35|  65|Zoquete     | -          |
224|OCTILLERY    |WATER            |  75| 105|  75| 105|  75|  45|Flexibilidad| -          |
225|DELIBIRD     |ICE/FLYING       |  45|  55|  45|  65|  45|  75|Efec. Espora|Espír. Vital|
226|MANTINE      |WATER/FLYING     |  65|  40|  70|  80| 140|  70|Hidratación |Insonorizar |
227|SKARMORY     |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|Más         | -          |
228|HOUNDOUR     |DARK/FIRE        |  45|  60|  30|  80|  50|  65|Aclimatación|Gélido      |
229|HOUNDOOM     |DARK/FIRE        |  75|  90|  50| 110|  80|  95|Velo Agua   |Ausente     |
230|KINGDRA      |WATER/DRAGON     |  75|  95|  95|  95|  95|  85|Filtro      | -          |Escamadragón (rare)
231|PHANPY       |GROUND           |  90|  60|  60|  40|  40|  40|Francotirad.|Tumbos      |Baya Pasio (rare)
232|DONPHAN      |GROUND           |  90| 120| 120|  60|  60|  50|Ritmo Propio|Defensa Hoja|Baya Pasio (rare)
233|PORYGON2     |NORMAL           |  85|  80|  90| 105|  95|  60|Presión     |Alerta      |
234|STANTLER     |NORMAL           |  73|  95|  62|  85|  65|  85|Dicha       |Puño Férreo |
235|SMEARGLE     |NORMAL           |  55|  20|  35|  20|  45|  75|Cambio Color| -          |
236|TYROGUE      |FIGHTING         |  35|  35|  35|  35|  35|  35|Viscosidad  |Mar Llamas  |
237|HITMONTOP    |FIGHTING         |  50|  95|  95|  35| 110|  70|Velo Arena  |Cuerpo Llama|
238|SMOOCHUM     |ICE/PSYCHIC      |  45|  30|  15|  85|  65|  65|Recogida    |Absor. Agua |Baya Perasi (100%)
239|ELEKID       |ELECTRIC         |  45|  63|  37|  65|  55|  95|Vista Lince | -          |Electrizador (rare)
240|MAGBY        |FIRE             |  45|  75|  37|  70|  55|  83|Puño Férreo |Dicha       |Magmatizador (rare)
241|MILTANK      |NORMAL           |  95|  80| 105|  40|  70| 100|Torrente    |Cromolente  |Leche Mu-mu (100%)
242|BLISSEY      |NORMAL           | 255|  10|  10|  75| 135|  55|Impulso     |Menos       |Piedra Oval (common), Huevo Suerte (rare)
243|RAIKOU       |ELECTRIC         |  90|  85|  75| 115| 100| 115|Ignorante   |Llovizna    |
244|ENTEI        |FIRE             | 115| 115|  85|  90|  75| 100|Escama Esp. | -          |
245|SUICUNE      |WATER            | 100|  75| 115|  90| 115|  85|Sincronía   |Imán        |
246|LARVITAR     |ROCK/GROUND      |  50|  64|  50|  45|  50|  41|Mal Sueño   |Gélido      |
247|PUPITAR      |ROCK/GROUND      |  70|  84|  70|  65|  70|  51|Resquicio   |Zoquete     |
